data;tytu³ operacji;szczegó³y;kwota;waluta
2026-05-15;Rozliczenie transakcji kupna:;iShares MSCI Global Semiconductors UCITS ETF (IE000I8KRLL9) 132 x 16.488 EUR nr Z00348421888;-2176,42;EUR
2026-05-15;Rozliczenie transakcji kupna:;iShares MSCI Global Semiconductors UCITS ETF (IE000I8KRLL9) 117 x 16.486 EUR nr Z00348421887;-1928,86;EUR
2026-04-16;Wymiana waluty PLN/EUR 4.2385;;4246,75;EUR
2026-04-16;Wymiana waluty PLN/EUR 4.2385;;-18000,00;PLN
2026-04-14;Rozliczenie transakcji sprzeda¿y:;Amundi MSCI Emerging Markets Latin America UCITS ETF USD (LU1681045297) 130 x 95.6191 PLN nr Z00333171785;12430,48;PLN
2026-04-13;Rozliczenie transakcji sprzeda¿y:;iShares MSCI China A UCITS ETF (IE00BQT3WG13) 252 x 21.5398 PLN nr Z00332401196;5428,03;PLN
2026-01-08;Rozliczenie transakcji kupna:;ETFBTCPL (PLBTFBN00014) 2 x 75.80 PLN nr 000000000434;-151,60;PLN
2026-01-08;Rozliczenie transakcji kupna:;ETFBTCPL (PLBTFBN00014) 11 x 75.80 PLN nr 000000000431;-833,80;PLN
2026-01-08;Rozliczenie transakcji kupna:;ETFBTCPL (PLBTFBN00014) 12 x 75.80 PLN nr 000000000432;-909,60;PLN
2026-01-08;Rozliczenie transakcji kupna:;ETFBTCPL (PLBTFBN00014) 5 x 75.80 PLN nr 000000000433;-379,00;PLN
2026-01-08;Rozliczenie transakcji kupna:;iShares MSCI China A UCITS ETF (IE00BQT3WG13) 252 x 21.4086 PLN nr Z00291220735;-5394,96;PLN
2026-01-08;Rozliczenie transakcji kupna:;Amundi MSCI Emerging Markets Latin America UCITS ETF USD (LU1681045297) 130 x 79.1029 PLN nr Z00291217805;-10283,38;PLN
2026-01-08;Rozliczenie transakcji kupna:;ETFBS80TR (PLBSWTR00014) 31 x 483.90 PLN nr 000000001387;-15000,90;PLN
2026-01-08;Rozliczenie transakcji kupna:;ETFBM40TR (PLBETF400025) 14 x 135.56 PLN nr 000000001822;-1897,84;PLN
2026-01-08;Rozliczenie transakcji kupna:;ETFBM40TR (PLBETF400025) 96 x 135.60 PLN nr 000000001823;-13017,60;PLN
2026-01-07;Rozliczenie transakcji sprzeda¿y:;iShares Core MSCI World UCITS (IE00B4L5Y983) 37 x 477.0046 PLN nr Z00290553588;17649,17;PLN
2026-01-07;Rozliczenie transakcji sprzeda¿y:;iShares Core MSCI World UCITS (IE00B4L5Y983) 4 x 477.0046 PLN nr Z00290553414;1908,02;PLN
2026-01-07;Zwrot nadp³aty - przekroczony limit wp³at na IKE/IKZE 836368;;-360,00;PLN
2026-01-07;Przelew do DM BOŒ;;28620,00;PLN
2025-03-24;Rozliczenie transakcji kupna:;iShares S&P 500 Swap UCITS ETF (IE00BMTX1Y45) 175 x 36.7578 PLN nr Z00202360893;-6451,27;PLN
2025-03-24;Przelew do DM BOŒ;;6000,00;PLN
2025-01-13;Rozliczenie transakcji kupna:;iShares S&P 500 Swap UCITS ETF (IE00BMTX1Y45) 81 x 39.9294 PLN nr Z00183777352;-3248,28;PLN
2025-01-13;Rozliczenie transakcji kupna:;iShares Core MSCI World UCITS (IE00B4L5Y983) 15 x 444.4098 PLN nr Z00183776723;-6685,48;PLN
2025-01-13;Rozliczenie transakcji kupna:;iShares S&P 500 Information Technology Sector UCITS ETF (IE00B3WJKG14) 70 x 137.8928 PLN nr Z00183772752;-9680,49;PLN
2025-01-07;Przelew do DM BOŒ;;20000,00;PLN
2024-12-06;Rozliczenie transakcji kupna:;iShares Core MSCI World UCITS (IE00B4L5Y983) 14 x 452.4728 PLN nr Z00176633988;-6353,62;PLN
2024-12-06;Rozliczenie transakcji kupna:;iShares S&P 500 Information Technology Sector UCITS ETF (IE00B3WJKG14) 50 x 139.4632 PLN nr Z00176601613;-6993,38;PLN
2024-12-06;Rozliczenie transakcji sprzeda¿y:;Xtrackers MSCI World Information Technology UCITS ETF (IE00BM67HT60) 1 x 394.3724 PLN nr Z00176556158;393,22;PLN
2024-12-06;Rozliczenie transakcji sprzeda¿y:;Xtrackers MSCI World Information Technology UCITS ETF (IE00BM67HT60) 32 x 394.3724 PLN nr Z00176556157;12596,18;PLN
2024-12-06;Rozliczenie transakcji sprzeda¿y:;Xtrackers MSCI World Information Technology UCITS ETF (IE00BM67HT60) 1 x 394.3724 PLN nr Z00176552471;380,37;PLN
2024-09-03;Rozliczenie transakcji kupna:;Xtrackers MSCI World Information Technology UCITS ETF (IE00BM67HT60) 34 x 345.5299 PLN nr Z00158927515;-11782,09;PLN
2024-09-02;Przelew do DM BOŒ;;12000,00;PLN
2024-06-27;Rozliczenie transakcji kupna:;iShares S&P 500 Swap UCITS ETF (IE00BMTX1Y45) 5 x 36.1063 PLN nr Z00148851281;-194,53;PLN
2024-06-26;Rozliczenie transakcji kupna:;iShares S&P 500 Swap UCITS ETF (IE00BMTX1Y45) 170 x 36.0803 PLN nr Z00148657916;-6151,45;PLN
2024-06-26;Przelew do DM BOŒ;;6000,00;PLN
2024-03-05;Rozliczenie transakcji kupna:;iShares Core MSCI World UCITS (IE00B4L5Y983) 12 x 384.0385 PLN nr Z00133288660;-4627,46;PLN
2024-03-04;Przelew do DM BOŒ;;5000,00;PLN
